Date,Station,Duty Window Number,Rank,Fleet,Season,IrOps,Month,Month Number,Weekday,Weekday Number,Duty Window,Pairing Start Count,Multi-Day Pairing Count,INT Pairing Count,Standby Activation Count,Multi-Day Pairing Ratio,INT Pairing Ratio,Activation Rate
13-04-2025,DEL,2,FO,Airbus,0,0,April,4,Sunday,6,04-Aug,49,11,2,9,0.2245,0.0408,0.1837
13-04-2025,DEL,3,CP,Airbus,0,0,April,4,Sunday,6,08-Dec,39,9,4,7,0.2308,0.1026,0.1795
13-04-2025,DEL,3,FO,Airbus,0,0,April,4,Sunday,6,08-Dec,37,6,4,6,0.1622,0.1081,0.1622
13-04-2025,DEL,4,CP,Airbus,0,0,April,4,Sunday,6,Dec-16,41,7,2,10,0.1707,0.0488,0.2439
13-04-2025,DEL,4,FO,Airbus,0,0,April,4,Sunday,6,Dec-16,42,4,2,15,0.0952,0.0476,0.3571
13-04-2025,DEL,5,CP,Airbus,0,0,April,4,Sunday,6,16-20,40,9,2,4,0.225,0.05,0.1
13-04-2025,DEL,5,FO,Airbus,0,0,April,4,Sunday,6,16-20,30,3,2,6,0.1,0.0667,0.2
13-04-2025,DEL,6,CP,Airbus,0,0,April,4,Sunday,6,20-24,26,16,10,3,0.6154,0.3846,0.1154
13-04-2025,DEL,6,FO,Airbus,0,0,April,4,Sunday,6,20-24,24,12,10,6,0.5,0.4167,0.25
14-04-2025,DEL,1,CP,Airbus,0,0,April,4,Monday,0,0-4,3,0,0,0,0,0,0
14-04-2025,DEL,1,FO,Airbus,0,0,April,4,Monday,0,0-4,8,0,0,2,0,0,0.25
14-04-2025,DEL,2,CP,Airbus,0,0,April,4,Monday,0,04-Aug,59,13,4,9,0.2203,0.0678,0.1525
14-04-2025,DEL,2,FO,Airbus,0,0,April,4,Monday,0,04-Aug,46,10,3,6,0.2174,0.0652,0.1304
14-04-2025,DEL,3,CP,Airbus,0,0,April,4,Monday,0,08-Dec,38,9,6,7,0.2368,0.1579,0.1842
14-04-2025,DEL,3,FO,Airbus,0,0,April,4,Monday,0,08-Dec,38,6,4,9,0.1579,0.1053,0.2368
